Vak                            ;Cijfers;Period;Studiepunten;Punten behaald
Algorithms and Data Structures ;0      ;2     ;6           ;0
Biochemie                      ;0      ;2     ;6           ;0
Celbiologie                    ;6,5    ;1     ;3           ;3
Celfysiologie                  ;0      ;1     ;3           ;0
Chemie van het leven           ;0      ;2     ;3           ;0
Databases                      ;0      ;2     ;6           ;0
Foundations of Computer Science;0      ;1     ;6           ;0
Introduction to Logic          ;0      ;2     ;6           ;0
Introduction to Programming    ;0      ;1     ;6           ;0
Microbiologie                  ;0      ;1     ;3           ;0
Moleculaire genetica 1         ;0      ;1     ;6           ;0
Oriëntatie Bioinformatics      ;0      ;2     ;3           ;0
Studying and Presenting        ;10     ;1     ;3           ;3
                               ;       ;      ;            ;
Totaal                         ;       ;      ;60          ;6
